year,雷雨,雷陣雨,降雨,大雨,豪雨,東北季風,東北風,寒流,鋒面,低氣壓,熱帶性低氣壓,颱風,華南雲雨區,西南氣流,溫帶氣旋,強陣風
2012,505,148,0,79,7,323,34,3,282,160,76,426,4,10,6,47
2013,692,160,1,99,16,374,92,17,304,190,114,384,19,0,6,76
2014,963,178,0,80,16,58,405,26,372,189,90,303,16,9,9,88
2015,788,91,0,61,10,44,173,16,245,80,45,164,12,13,1,52
2016,1168,182,1,147,23,79,365,25,352,200,117,299,24,6,5,91
2017,1007,179,10,127,44,95,430,7,361,243,155,318,24,32,4,126
2018,1086,188,8,190,55,120,438,27,281,261,185,375,14,32,9,126
2019,1120,149,17,204,59,160,448,0,318,171,77,361,24,2,10,189
2020,913,218,12,269,59,136,461,21,297,148,65,286,21,4,7,198
sum,8242,1493,49,1256,289,1389,2846,142,2812,1642,924,2916,158,108,57,993
